strike,bid,ask,option_type,mid_quote,forward,Implied Vol,delta
200,0,0.05,P,0.025,4175.786919,259.765625,-2.62E-05
400,0,0.05,P,0.025,4175.786919,199.21875,-3.59E-05
600,0,0.05,P,0.025,4175.786919,164.3066406,-4.34E-05
800,0,0.05,P,0.025,4175.786919,140.1367188,-5.21E-05
1000,0,0.05,P,0.025,4175.786919,121.3378906,-5.99E-05
1200,0,0.05,P,0.025,4175.786919,106.2011719,-6.93E-05
1300,0,0.05,P,0.025,4175.786919,99.36523438,-7.23E-05
1400,0,0.05,P,0.025,4175.786919,93.26171875,-7.77E-05
1500,0,0.05,P,0.025,4175.786919,87.64648438,-8.43E-05
1600,0,0.1,P,0.05,4175.786919,85.9375,-0.00016008
1700,0,0.1,P,0.05,4175.786919,81.0546875,-0.000180441
1800,0.05,0.15,P,0.1,4175.786919,78.125,-0.000265567
1900,0.05,0.15,P,0.1,4175.786919,74.21875,-0.000326993
2000,0.05,0.15,P,0.1,4175.786919,70.3125,-0.000391869
2100,0.1,0.2,P,0.15,4175.786919,67.87109375,-0.000580136
2200,0.1,0.25,P,0.175,4175.786919,64.33105469,-0.000707984
2300,0.15,0.25,P,0.2,4175.786919,60.546875,-0.000814375
2400,0.25,0.3,P,0.275,4175.786919,58.28857422,-0.001186595
2450,0.25,0.35,P,0.3,4175.786919,56.640625,-0.001309421
2500,0.3,0.4,P,0.35,4175.786919,55.41992188,-0.001545286
2550,0.35,0.45,P,0.4,4175.786919,54.6875,-0.001965772
2600,0.4,0.5,P,0.45,4175.786919,52.734375,-0.00205325
2650,0.45,0.55,P,0.5,4175.786919,51.7578125,-0.002502043
2700,0.5,0.6,P,0.55,4175.786919,49.8046875,-0.002602239
2725,0.55,0.65,P,0.6,4175.786919,49.31640625,-0.002870159
2750,0.55,0.65,P,0.6,4175.786919,48.33984375,-0.002922732
2775,0.6,0.7,P,0.65,4175.786919,47.79052734,-0.003190454
2800,0.65,0.75,P,0.7,4175.786919,46.875,-0.003278653
2825,0.7,0.8,P,0.75,4175.786919,46.56982422,-0.003723123
2850,0.75,0.85,P,0.8,4175.786919,45.8984375,-0.003981077
2875,0.75,0.9,P,0.825,4175.786919,45.12023926,-0.004183176
2900,0.85,0.95,P,0.9,4175.786919,44.43359375,-0.004460816
2925,0.85,1,P,0.925,4175.786919,43.77365112,-0.004777259
2950,0.95,1.05,P,1,4175.786919,42.96875,-0.004996281
2975,1,1.1,P,1.05,4175.786919,42.48046875,-0.005502421
3000,1.1,1.2,P,1.15,4175.786919,41.9921875,-0.006057738
3025,1.15,1.25,P,1.2,4175.786919,41.25976563,-0.006412784
3050,1.25,1.35,P,1.3,4175.786919,40.52734375,-0.006789243
3060,1.25,1.35,P,1.3,4175.786919,40.28320313,-0.007001035
3070,1.3,1.4,P,1.35,4175.786919,40.13061523,-0.007326106
3075,1.3,1.4,P,1.35,4175.786919,39.91699219,-0.00733145
3080,1.3,1.45,P,1.375,4175.786919,39.8311615,-0.007488393
3090,1.35,1.45,P,1.4,4175.786919,39.55078125,-0.007677865
3100,1.4,1.5,P,1.45,4175.786919,39.3371582,-0.007956724
3110,1.45,1.55,P,1.5,4175.786919,39.0625,-0.008166139
3120,1.45,1.6,P,1.525,4175.786919,38.82026672,-0.008424751
3125,1.5,1.6,P,1.55,4175.786919,38.69628906,-0.008553336
3130,1.5,1.6,P,1.55,4175.786919,38.51318359,-0.008602768
3140,1.55,1.65,P,1.6,4175.786919,38.33007813,-0.008959626
3150,1.6,1.7,P,1.65,4175.786919,38.05541992,-0.009197163
3160,1.65,1.75,P,1.7,4175.786919,37.84179688,-0.00953289
3170,1.65,1.8,P,1.725,4175.786919,37.52326965,-0.00971924
3175,1.7,1.8,P,1.75,4175.786919,37.41455078,-0.009892564
